Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-001-00000),Manchester University NHS FT (England),"£82,000 to £110,000 (Dental Consultant)",England,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/25103734/
SCF,Senior Clinical Fellow in Gastroenterology (Ref: NHS-001-00001),NHS Lothian (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-08 14:04:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/96475100/
Teaching,Teaching Fellow in Clinical Skills (Ref: NHS-001-00002),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 14:04:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/22494328/
TrustGrade,Trust Grade Doctor in Psychiatry (Ref: NHS-001-00003),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 14:04:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/60067158/
LAS,LAS ST2 in Orthopaedics (Ref: NHS-001-00004),University College London Hospitals FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-08 14:04:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/11459163/
Locum,Locum SPR in Surgery (Ref: NHS-001-00005),NHS Fife (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/73839182/
FY1,FY1 in Acute Medicine (Ref: NHS-001-00006),Powys Teaching Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 14:04:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/41193827/
FY2,FY2 in Paediatrics (Ref: NHS-001-00007),Business Services Organisation NI (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/92842789/
CT,Core Trainee CT2 in Pathology (Ref: NHS-001-00008),Sheffield Teaching Hospitals FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/37145699/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-001-00009),NHS Borders (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/25807277/
